n_case,Extraction_Time,Temp,Fenol,Flavonoid
1,0,60,53.1,5.41
2,5,60,41.96,4.34
3,10,60,49.95,3.79
4,15,60,33.72,5.23
5,20,60,42.2,4.83
6,25,60,48.98,7.35
7,30,60,66.67,7.16
8,35,60,60.13,7.35
9,40,60,64,7.69
10,45,60,36.14,8.08
11,50,60,42.2,9.78
12,55,60,73.45,8.6
13,60,60,52.37,7.58
14,65,60,42.44,8.76
15,70,60,51.41,9.28
16,75,60,44.86,8.42
17,80,60,54.55,9.05
18,85,60,82.17,9.78
19,90,60,57.22,8.13
20,95,60,67.88,10.07
21,100,60,49.22,10.02
22,105,60,47.29,10.77
23,110,60,52.13,9.88
24,115,60,76.84,15.07
25,120,60,60.37,12.4
26,125,60,67.15,17.69
27,130,60,65.21,15.91
28,135,60,58.19,16.9
29,140,60,76.11,16.56
30,145,60,59.4,19.86
31,150,60,44.14,17.5
32,155,60,59.88,18.45
33,160,60,54.07,19.36
34,165,60,36.87,19.05
35,170,60,58.91,18.18
36,175,60,63.52,20.46
37,180,60,51.65,19.23
38,185,60,63.03,22.9
39,190,60,38.08,15.7
40,195,60,35.66,19.1
41,200,60,23.79,21.61
42,205,60,50.92,21.85
43,210,60,47.53,22.87
44,215,60,61.58,23.73
45,220,60,43.9,22.97
46,225,60,52.86,25.93
47,230,60,57.22,27.61
48,235,60,43.17,28.6
49,240,60,49.22,31.77
50,0,65,97.92,5.72
51,5,65,79.99,6.64
52,10,65,85.8,6.43
53,15,65,85.08,9.41
54,20,65,76.84,5.7
55,25,65,94.28,5.49
56,30,65,65.09,8.08
57,35,65,82.17,6.9
58,40,65,74.66,9.75
59,45,65,69.82,7.87
60,50,65,75.39,11.43
61,55,65,48.26,11.14
62,60,65,40.87,11.82
63,65,65,54.19,9.28
64,70,65,53.34,9.13
65,75,65,60.49,9.57
66,80,65,52.37,9.7
67,85,65,68.36,10.8
68,90,65,73.45,10.02
69,95,65,64.24,7.71
70,100,65,64.24,12.03
71,105,65,48.01,10.36
72,110,65,34.69,14.23
73,115,65,85.56,13.6
74,120,65,92.83,12.32
75,125,65,70.06,11.22
76,130,65,63.03,11.8
77,135,65,94.53,10.85
78,140,65,89.68,10.93
79,145,65,87.5,11.59
80,150,65,53.83,11.14
81,155,65,78.29,13.24
82,160,65,64,9.6
83,165,65,65.7,14.02
84,170,65,98.16,13.86
85,175,65,74.42,17.14
86,180,65,103.73,14.65
87,185,65,80.47,12.79
88,190,65,72,17.69
89,195,65,105.43,15.46
90,200,65,79.51,16.4
91,205,65,69.33,12.5
92,210,65,72.48,14.91
93,215,65,79.99,14.54
94,220,65,50.07,17.48
95,225,65,69.82,19.28
96,230,65,55.28,17.79
97,235,65,62.91,21.25
98,240,65,48.5,20.57
99,0,70,76.84,45
100,5,70,69.33,.49
101,10,70,98.89,2.58
102,15,70,77.33,2.06
103,20,70,112.69,.99
104,25,70,121.41,2.5
105,30,70,160.66,0.91
106,35,70,148.55,4.13
107,40,70,139.1,4.69
108,45,70,138.61,5.36
109,50,70,105.18,2.4
110,55,70,82.41,4.79
111,60,70,109.54,3.58
112,65,70,80.47,5.15
113,70,70,114.15,0.15
114,75,70,69.33,7.69
115,80,70,83.14,7.84
116,85,70,92.59,7.54
117,90,70,126.02,4.2
118,95,70,132.07,7.19
119,100,70,134.01,16.77
120,105,70,94.28,18.01
121,110,70,109.3,22.02
122,115,70,146.37,18.5
123,120,70,128.68,19.81
124,125,70,131.83,19.34
125,130,70,126.99,20.83
126,135,70,108.33,20.57
127,140,70,108.58,19.1
128,145,70,126.5,25.04
129,150,70,101.31,24.94
130,155,70,131.83,24.86
131,160,70,141.76,23.45
132,165,70,113.18,24.99
133,170,70,112.69,26.77
134,175,70,131.1,23.97
135,180,70,103.73,23.6
136,5,75,93.8,7.14
137,10,75,115.36,9.78
138,15,75,103.73,10.51
139,20,75,97.67,11.01
140,25,75,117.3,10.2
141,30,75,102.76,8.73
142,35,75,108.09,12.45
143,40,75,101.31,14.02
144,45,75,77.81,12.06
145,50,75,106.64,15.49
146,55,75,94.77,13.18
147,60,75,123.11,15.23
148,65,75,120.93,15.67
149,70,75,111.72,14.83
150,75,75,113.66,16.09
151,80,75,115.36,16.09
152,85,75,78.78,16.48
153,90,75,98.16,17.76
154,95,75,99.85,16.77
155,100,75,73.93,16.51
156,105,75,101.79,18
157,110,75,75.39,16.53
158,115,75,74.66,20.64
159,120,75,77.33,17.58
160,125,75,100.82,17.14
161,130,75,71.75,21.74
162,135,75,89.92,11.22
163,140,75,72.48,20.91
164,145,75,67.88,19.34
165,150,75,52.86,22.61
166,155,75,68.36,20.04
167,160,75,53.1,19.96
168,165,75,56.73,24.15
169,170,75,78.54,13.45
